,game_id,name,release_date,type_product,description,genres,header_image,capsule_image,capsule_imagev5,price,on_sale,discount_percent,discount_price
0,1267540,WRC 9 FIA World Rally Championship,Coming Soon,game,"WRC is the leading off-road simulation franchise. It returns with even more realistic gameplay and more content than ever: 3 new rallies, 35 new special stages, creation of your own custom championships and completely redesigned engine sounds.","['Racing', 'Simulation', 'Sports']",https://cdn.akamai.steamstatic.com/steam/apps/1267540/header.jpg?t=1651564126,https://cdn.akamai.steamstatic.com/steam/apps/1267540/capsule_231x87.jpg?t=1651564126,https://cdn.akamai.steamstatic.com/steam/apps/1267540/capsule_184x69.jpg?t=1651564126,29.99€,True,0%,29.99€
1,1250410,Microsoft Flight Simulator 40th Anniversary Edition,Coming Soon,game,"From gliders and helicopters to wide-body jets, fly highly detailed and accurate aircraft in the Microsoft Flight Simulator 40th Anniversary Edition. The world is at your fingertips.",['Simulation'],https://cdn.akamai.steamstatic.com/steam/apps/1250410/header.jpg?t=1689193265,https://cdn.akamai.steamstatic.com/steam/apps/1250410/capsule_231x87.jpg?t=1689193265,https://cdn.akamai.steamstatic.com/steam/apps/1250410/capsule_184x69.jpg?t=1689193265,69.99€,True,0%,69.99€
2,1223910,Tennis World Tour 2,Coming Soon,game,"Play as the world's top players, master each surface, perfect your game and strive to dominate the world circuit. Choose from multiple game modes, with singles and doubles games, local and online.","['Simulation', 'Sports']",https://cdn.akamai.steamstatic.com/steam/apps/1223910/header.jpg?t=1667363195,https://cdn.akamai.steamstatic.com/steam/apps/1223910/capsule_231x87.jpg?t=1667363195,https://cdn.akamai.steamstatic.com/steam/apps/1223910/capsule_184x69.jpg?t=1667363195,39.99€,True,0%,39.99€
3,1174180,Red Dead Redemption 2,Coming Soon,game,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","['Action', 'Adventure']",https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1671485009,https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_231x87.jpg?t=1671485009,https://cdn.akamai.steamstatic.com/steam/apps/1174180/capsule_184x69.jpg?t=1671485009,59.99€,True,0%,59.99€
4,1158310,Crusader Kings III,Coming Soon,game,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.","['RPG', 'Simulation', 'Strategy']",https://cdn.akamai.steamstatic.com/steam/apps/1158310/header.jpg?t=1686841394,https://cdn.akamai.steamstatic.com/steam/apps/1158310/capsule_231x87.jpg?t=1686841394,https://cdn.akamai.steamstatic.com/steam/apps/1158310/capsule_184x69.jpg?t=1686841394,49.99€,True,0%,49.99€
5,1145360,Hades,Coming Soon,game,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.","['Action', 'Indie', 'RPG']",https://cdn.akamai.steamstatic.com/steam/apps/1145360/header.jpg?t=1680293801,https://cdn.akamai.steamstatic.com/steam/apps/1145360/capsule_231x87.jpg?t=1680293801,https://cdn.akamai.steamstatic.com/steam/apps/1145360/capsule_184x69.jpg?t=1680293801,24.50€,True,0%,24.50€
6,813780,Age of Empires II: Definitive Edition,Coming Soon,game,"Age of Empires II: Definitive Edition features “The Last Khans” with 3 new campaigns and 4 new Civilizations. Frequent updates include events, additional content, new game modes, and enhanced features with the recent addition of Co-Op mode!",['Strategy'],https://cdn.akamai.steamstatic.com/steam/apps/813780/header.jpg?t=1688658568,https://cdn.akamai.steamstatic.com/steam/apps/813780/capsule_231x87.jpg?t=1688658568,https://cdn.akamai.steamstatic.com/steam/apps/813780/capsule_184x69.jpg?t=1688658568,19.99€,True,0%,19.99€
7,812140,Assassin's Creed® Odyssey,Coming Soon,game,"Choose your fate in Assassin's Creed® Odyssey. From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece.","['Action', 'Adventure', 'RPG']",https://cdn.akamai.steamstatic.com/steam/apps/812140/header.jpg?t=1670596226,https://cdn.akamai.steamstatic.com/steam/apps/812140/capsule_231x87.jpg?t=1670596226,https://cdn.akamai.steamstatic.com/steam/apps/812140/capsule_184x69.jpg?t=1670596226,59.99€,True,0%,59.99€
8,787860,Farming Simulator 19,Coming Soon,game,"The best-selling franchise takes a giant leap forward with a complete overhaul of the graphics engine, offering the most striking and immersive visuals and effects, along with the deepest and most complete farming experience ever.",['Simulation'],https://cdn.akamai.steamstatic.com/steam/apps/787860/header.jpg?t=1674664652,https://cdn.akamai.steamstatic.com/steam/apps/787860/capsule_231x87.jpg?t=1674664652,https://cdn.akamai.steamstatic.com/steam/apps/787860/capsule_184x69.jpg?t=1674664652,19.99€,True,0%,19.99€
9,782330,DOOM Eternal,Coming Soon,game,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,['Action'],https://cdn.akamai.steamstatic.com/steam/apps/782330/header.jpg?t=1661971606,https://cdn.akamai.steamstatic.com/steam/apps/782330/capsule_231x87.jpg?t=1661971606,https://cdn.akamai.steamstatic.com/steam/apps/782330/capsule_184x69.jpg?t=1661971606,39.99€,True,0%,39.99€
10,752590,A Plague Tale: Innocence,Coming Soon,game,"Follow the grim tale of young Amicia and her little brother Hugo, in a heartrending journey through the darkest hours of history.","['Action', 'Adventure']",https://cdn.akamai.steamstatic.com/steam/apps/752590/header.jpg?t=1674035726,https://cdn.akamai.steamstatic.com/steam/apps/752590/capsule_231x87.jpg?t=1674035726,https://cdn.akamai.steamstatic.com/steam/apps/752590/capsule_184x69.jpg?t=1674035726,69.99€,True,55%,31.49€
11,656350,UnderMine,Coming Soon,game,"An action-adventure roguelike with a bit of RPG tossed in. Adventure deep into the UnderMine and discover powerful relics, deadly enemies, hidden secrets, and a few friends to help along the way.","['Action', 'Adventure', 'Indie', 'RPG']",https://cdn.akamai.steamstatic.com/steam/apps/656350/header.jpg?t=1641501972,https://cdn.akamai.steamstatic.com/steam/apps/656350/capsule_231x87.jpg?t=1641501972,https://cdn.akamai.steamstatic.com/steam/apps/656350/capsule_184x69.jpg?t=1641501972,16.79€,True,0%,16.79€
12,646570,Slay the Spire,Coming Soon,game,"We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!","['Indie', 'Strategy']",https://cdn.akamai.steamstatic.com/steam/apps/646570/header.jpg?t=1666988685,https://cdn.akamai.steamstatic.com/steam/apps/646570/capsule_231x87.jpg?t=1666988685,https://cdn.akamai.steamstatic.com/steam/apps/646570/capsule_184x69.jpg?t=1666988685,20.99€,True,0%,20.99€
13,644930,They Are Billions,Coming Soon,game,They Are Billions is a Steampunk strategy game set on a post-apocalyptic planet. Build and defend colonies to survive against the billions of the infected that seek to annihilate the few remaining living humans. Can humanity survive after the zombie apocalypse?,['Strategy'],https://cdn.akamai.steamstatic.com/steam/apps/644930/header.jpg?t=1595631876,https://cdn.akamai.steamstatic.com/steam/apps/644930/capsule_231x87.jpg?t=1595631876,https://cdn.akamai.steamstatic.com/steam/apps/644930/capsule_184x69.jpg?t=1595631876,29.99€,True,0%,29.99€
14,632360,Risk of Rain 2,Coming Soon,game,"Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing.","['Action', 'Indie']",https://cdn.akamai.steamstatic.com/steam/apps/632360/header.jpg?t=1660063598,https://cdn.akamai.steamstatic.com/steam/apps/632360/capsule_231x87.jpg?t=1660063598,https://cdn.akamai.steamstatic.com/steam/apps/632360/capsule_184x69.jpg?t=1660063598,24.99€,True,0%,24.99€
15,632470,Disco Elysium - The Final Cut,Coming Soon,game,"Disco Elysium - The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.",['RPG'],https://cdn.akamai.steamstatic.com/steam/apps/632470/header.jpg?t=1681291304,https://cdn.akamai.steamstatic.com/steam/apps/632470/capsule_231x87.jpg?t=1681291304,https://cdn.akamai.steamstatic.com/steam/apps/632470/capsule_184x69.jpg?t=1681291304,39.99€,True,0%,39.99€
